pl_hostname,pl_letter,pl_discmethod,pl_orbper,pl_orbsmax,pl_orbeccen,pl_massj,pl_msinij,pl_radj,pl_dens,pl_orbincl,pl_ttvflag,ra,dec,st_dist,st_vj,st_teff,st_mass,st_rad,hd_name,hip_name,st_radv,st_sp,st_lum,st_metfe,st_acts,st_actr,pl_msinie,pl_disc
11 Com,b,Radial Velocity,326.03000000,1.290000,0.231000,,19.40000,,,,0,185.179276,17.792868,112.00,4.740,4742.00,2.70,19.50,HD 107383,HIP 60202,,5.00,2.243,,,,6165.64000,2008
11 UMi,b,Radial Velocity,516.22000000,1.540000,0.080000,,10.50000,,,,0,229.274536,71.823898,119.50,5.016,4340.00,1.80,24.08,HD 136726,HIP 74793,,5.00,,,,,3337.07400,2009
14 And,b,Radial Velocity,185.84000000,0.830000,0.000000,,4.80000,,,,0,352.822571,39.236198,76.40,5.220,4813.00,2.20,11.00,HD 221345,HIP 116076,,5.00,1.763,,0.095,,1525.52000,2008
14 Her,b,Radial Velocity,1773.40000000,2.770000,0.369000,,4.64000,,,,0,242.601303,43.817646,18.15,6.605,5311.00,0.90,,HD 145675,HIP 79248,-13.70,5.00,,,0.161,-5.060,1474.66900,2002
16 Cyg B,b,Radial Velocity,798.50000000,1.681000,0.681000,1.68000,,,,,0,295.466553,50.517525,21.41,6.200,5674.00,0.99,1.16,HD 186427,HIP 96901,-28.10,4.30,,,0.148,-5.080,,1996
18 Del,b,Radial Velocity,993.30000000,2.600000,0.080000,,10.30000,,,,0,314.608063,10.839286,73.10,5.506,4979.00,2.30,8.50,HD 199665,HIP 103527,,5.00,1.602,,,,3273.51100,2008
1RXS J160929.1-210524,b,Imaging,,330.000000,,8.00000,,,,,0,242.376266,-21.083036,,,,,,,,,,,,,,,2008
24 Sex,b,Radial Velocity,452.80000000,1.333000,0.090000,,1.99000,,,,0,155.868210,-0.902244,74.80,6.441,5098.00,1.54,4.90,HD 90043,HIP 50887,,5.00,1.164,,,,632.45500,2010
24 Sex,c,Radial Velocity,883.00000000,2.080000,0.290000,,0.86000,,,,0,155.868210,-0.902244,74.80,6.441,5098.00,1.54,4.90,HD 90043,HIP 50887,,5.00,1.164,,,,273.32200,2010
2MASS J04414489+2301513,b,Imaging,,15.000000,,7.50000,,,,,0,70.437073,23.030941,,,,,,,,,,,,,,,2010
2MASS J07464256+2000321A,b,Imaging,4640.00000000,,0.487000,31.42000,,,,138.200,0,116.677345,20.008940,,,,,,,,,,,,,,,2010
2MASS J12073346-3932539,b,Imaging,,41.000000,,4.00000,,1.500,,,0,181.889450,-39.548332,,,,,,,,,6.80,,,,,,2004
2MASS J21402931+1625183A,b,Imaging,7340.00000000,,0.260000,20.95000,,,,46.200,0,325.122162,16.421759,,,,,,,,,,,,,,,2010
